file,time,bags,width,vertices
./90-15-5-q.cnf,0.0415069,1054,6,1065
./90-15-6-q.cnf,0.0392411,1054,6,1065
./90-15-7-q.cnf,0.0543241,1049,6,1065
./90-15-8-q.cnf,0.0356569,1051,6,1065
./90-15-9-q.cnf,0.015956,1,0,0
./90-16-1-q.cnf,0.0324679,1199,9,1216
./90-16-10-q.cnf,0.0299089,1194,5,1216
./90-16-2-q.cnf,0.0430059,1207,6,1216
./90-16-3-q.cnf,0.03291,1195,6,1216
./90-16-4-q.cnf,0.0423619,1199,8,1216
./90-16-5-q.cnf,0.0413101,1203,7,1216
./90-16-6-q.cnf,0.0446279,1198,8,1216
./90-16-7-q.cnf,0.033882,1203,6,1216
./90-16-8-q.cnf,0.0180439,1,0,0
./90-16-9-q.cnf,0.0336619,1198,6,1216
./90-17-1-q.cnf,0.036707,1365,6,1377
./90-17-10-q.cnf,0.0328591,1366,6,1377
./90-17-2-q.cnf,0.0196719,1,0,0
./90-17-3-q.cnf,0.0382939,1360,8,1377
./90-17-4-q.cnf,0.0585289,1358,9,1377
./90-17-5-q.cnf,0.060893,1361,7,1377
./90-17-6-q.cnf,0.034491,1362,7,1377
./90-17-7-q.cnf,0.020792,1,0,0
./90-17-8-q.cnf,0.0356291,1356,7,1377
./90-17-9-q.cnf,0.0574059,1355,8,1377
./90-18-1-q.cnf,0.0622401,1524,9,1548
./90-18-10-q.cnf,0.051195,1533,9,1548
./90-18-2-q.cnf,0.040727,1524,6,1548
./90-18-3-q.cnf,0.043186,1529,7,1548
./90-18-4-q.cnf,0.04997,1525,6,1548
./90-18-5-q.cnf,0.0502979,1521,7,1548
./90-18-6-q.cnf,0.0470039,1531,7,1548
./90-18-7-q.cnf,0.053378,1529,8,1548
./90-18-8-q.cnf,0.0603521,1529,8,1548
./90-18-9-q.cnf,0.0410861,1525,5,1548
./90-19-1-q.cnf,0.058995,1708,11,1729
./90-19-10-q.cnf,0.0631859,1705,9,1729
./90-19-2-q.cnf,0.039165,1703,6,1729
./90-19-3-q.cnf,0.018441,1,0,0
./90-19-4-q.cnf,0.0486219,1713,4,1729
./90-19-5-q.cnf,0.018575,1,0,0
./90-19-6-q.cnf,0.0501741,1700,8,1729
./90-19-7-q.cnf,0.0563039,1707,7,1729
./90-19-8-q.cnf,0.074297,1713,8,1729
./90-19-9-q.cnf,0.018171,1,0,0
./90-20-1-q.cnf,0.0463849,1890,5,1920
./90-20-10-q.cnf,0.05471,1899,7,1920
./90-20-2-q.cnf,0.0480369,1889,9,1920
./90-20-3-q.cnf,0.077431,1897,9,1920
./90-20-4-q.cnf,0.055316,1891,5,1920
./90-20-5-q.cnf,0.0489631,1894,8,1920
./90-20-6-q.cnf,0.064308,1895,5,1920
./90-20-7-q.cnf,0.0703899,1893,8,1920
./90-20-8-q.cnf,0.08229,1896,12,1920
./90-20-9-q.cnf,0.0614941,1896,7,1920
./90-21-1-q.cnf,0.0586381,2096,7,2121
./90-21-10-q.cnf,0.057906,2094,11,2121
./90-21-2-q.cnf,0.0585919,2094,9,2121
./90-21-3-q.cnf,0.0629369,2101,5,2121
./90-21-4-q.cnf,0.0179029,1,0,0
./90-21-5-q.cnf,0.0583119,2092,7,2121
./90-21-6-q.cnf,0.0142389,1,0,0
./90-21-7-q.cnf,0.073636,2099,10,2121
./90-21-8-q.cnf,0.019963,1,0,0
./90-21-9-q.cnf,0.0549011,2091,8,2121
./90-22-1-q.cnf,0.0727271,2301,6,2332
./90-22-10-q.cnf,0.052959,2303,9,2332
./90-22-2-q.cnf,0.083205,2304,9,2332
./90-22-3-q.cnf,0.0509299,2304,8,2332
./90-22-4-q.cnf,0.0677099,2306,5,2332
./90-22-5-q.cnf,0.0940481,2302,9,2332
./90-22-6-q.cnf,0.0572601,2299,6,2332
./90-22-7-q.cnf,0.0731501,2305,7,2332
./90-22-8-q.cnf,0.014755,1,0,0
./90-22-9-q.cnf,0.0670309,2301,9,2332
./90-23-1-q.cnf,0.097811,2522,10,2553
./90-23-10-q.cnf,0.077963,2526,8,2553
./90-23-2-q.cnf,0.089004,2517,10,2553
./90-23-3-q.cnf,0.0706441,2527,8,2553
./90-23-4-q.cnf,0.05611,2518,5,2553
./90-23-5-q.cnf,0.0728899,2519,7,2553
./90-23-6-q.cnf,0.0752659,2511,6,2553
./90-23-7-q.cnf,0.0871189,2527,9,2553
./90-23-8-q.cnf,0.059401,2521,7,2553
./90-23-9-q.cnf,0.0179751,1,0,0
./90-24-1-q.cnf,0.0119169,1,0,0
./90-24-10-q.cnf,0.059472,2752,6,2784
./90-24-2-q.cnf,0.0625031,2747,6,2784
./90-24-3-q.cnf,0.0672469,2751,7,2784
./90-24-4-q.cnf,0.0654381,2747,8,2784
./90-24-5-q.cnf,0.0648539,2749,8,2784
./90-24-6-q.cnf,0.0188521,1,0,0
./90-24-7-q.cnf,0.0755981,2744,8,2784
./90-24-8-q.cnf,0.0513041,2751,6,2784
./90-24-9-q.cnf,0.0928751,2763,9,2784
./90-25-1-q.cnf,0.109404,2991,7,3025
./90-25-10-q.cnf,0.0670909,2993,9,3025
./90-25-2-q.cnf,0.096269,2982,7,3025
./90-25-3-q.cnf,0.0828551,2977,7,3025
./90-25-4-q.cnf,0.100992,2989,9,3025
./90-25-5-q.cnf,0.0913749,2986,6,3025
./90-25-6-q.cnf,0.11504,2992,9,3025
./90-25-7-q.cnf,0.100896,2986,10,3025
./90-25-8-q.cnf,0.097997,2990,10,3025
./90-25-9-q.cnf,0.0717361,2984,9,3025
./90-26-1-q.cnf,0.018086,1,0,0
./90-26-10-q.cnf,0.117569,3233,10,3276
./90-26-2-q.cnf,0.013603,1,0,0
./90-26-3-q.cnf,0.0730199,3242,10,3276
./90-26-4-q.cnf,0.0949051,3234,8,3276
./90-26-5-q.cnf,0.104851,3233,9,3276
./90-26-6-q.cnf,0.110328,3232,11,3276
./90-26-7-q.cnf,0.0200699,1,0,0
./90-26-8-q.cnf,0.10366,3229,9,3276
./90-26-9-q.cnf,0.019607,1,0,0
./90-30-1-q.cnf,0.156485,4335,10,4380
./90-30-10-q.cnf,0.174382,4325,8,4380
./90-30-2-q.cnf,0.132825,4330,11,4380
./90-30-3-q.cnf,0.152565,4329,8,4380
./90-30-4-q.cnf,0.13815,4326,9,4380
./90-30-5-q.cnf,0.142827,4318,10,4380
./90-30-6-q.cnf,0.121458,4332,8,4380
./90-30-7-q.cnf,0.110247,4328,8,4380
./90-30-8-q.cnf,0.141694,4335,10,4380
./90-30-9-q.cnf,0.158818,4335,10,4380
./90-34-1-q.cnf,0.180167,5585,8,5644
./90-34-10-q.cnf,0.186416,5582,11,5644
./90-34-2-q.cnf,0.174365,5575,10,5644
./90-34-3-q.cnf,0.143655,5582,11,5644
./90-34-4-q.cnf,0.168561,5575,9,5644
./90-34-5-q.cnf,0.159391,5590,8,5644
./90-34-6-q.cnf,0.143331,5592,9,5644
./90-34-7-q.cnf,0.20902,5577,12,5644
./90-34-8-q.cnf,0.0185029,1,0,0
./90-34-9-q.cnf,0.182474,5579,10,5644
./90-38-1-q.cnf,0.25966,6995,10,7068
./90-38-10-q.cnf,0.216243,6986,13,7068
./90-38-2-q.cnf,0.213945,7004,8,7068
./90-38-3-q.cnf,0.243924,6991,14,7068
./90-38-4-q.cnf,0.202433,6991,8,7068
./90-38-5-q.cnf,0.211159,6983,10,7068
./90-38-6-q.cnf,0.206911,7000,12,7068
./90-38-7-q.cnf,0.192606,6983,12,7068
./90-38-8-q.cnf,0.205432,6989,10,7068
./90-38-9-q.cnf,0.19363,7003,9,7068
./90-42-1-q.cnf,0.27647,8556,11,8652
./90-42-10-q.cnf,0.295519,8546,16,8652
./90-42-2-q.cnf,0.272061,8582,9,8652
./90-42-3-q.cnf,0.28076,8542,15,8652
./90-42-4-q.cnf,0.334908,8554,14,8652
./90-42-5-q.cnf,0.332746,8566,9,8652
./90-42-6-q.cnf,0.345401,8555,11,8652
./90-42-7-q.cnf,0.317937,8560,9,8652
./90-42-8-q.cnf,0.294061,8544,17,8652
./90-42-9-q.cnf,0.253916,8555,11,8652
./90-46-1-q.cnf,0.377548,10293,12,10396
./90-46-10-q.cnf,0.0195681,1,0,0
./90-46-2-q.cnf,0.439526,10275,11,10396
./90-46-3-q.cnf,0.354063,10277,12,10396
./90-46-4-q.cnf,0.359513,10293,11,10396
./90-46-5-q.cnf,0.365208,10268,12,10396
./90-46-6-q.cnf,0.412525,10271,13,10396
./90-46-7-q.cnf,0.391192,10296,11,10396
./90-46-8-q.cnf,0.328449,10275,11,10396
./90-46-9-q.cnf,0.389561,10294,12,10396
./90-50-1-q.cnf,0.505492,12161,15,12300
./90-50-10-q.cnf,0.584584,12151,13,12300
./90-50-2-q.cnf,0.019976,1,0,0
./90-50-3-q.cnf,0.53844,12182,10,12300
./90-50-4-q.cnf,0.456012,12181,12,12300
